timeInstance, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2811149, 0.022217, -0.016846, 0.911621, 2.256098, -1.036585, -0.243902, 33.188824
2812782, 0.020996, -0.018066, 0.917480, 2.195122, -1.097561, -0.365854, 33.047646
2814416, 0.020264, -0.017090, 0.913574, 2.195122, -1.158537, -0.182927, 33.141762
2816049, 0.016357, -0.015625, 0.913086, 2.073171, -1.158537, -0.121951, 33.188824
2817683, 0.018311, -0.012939, 0.908936, 2.195122, -0.975610, -0.182927, 33.188824
2819316, 0.021973, -0.013916, 0.920410, 2.317073, -1.097561, -0.182927, 33.094704
2820949, 0.023926, -0.014648, 0.907471, 2.012195, -1.036585, -0.121951, 33.141762
2822583, 0.020996, -0.018799, 0.915771, 2.073171, -1.036585, -0.121951, 33.094704
2824216, 0.017822, -0.011230, 0.924561, 2.256098, -1.036585, -0.060976, 33.047646
2825850, 0.020508, -0.019287, 0.916504, 2.195122, -1.158537, -0.182927, 33.094704
2827483, 0.021729, -0.013184, 0.917725, 2.073171, -1.036585, -0.060976, 33.141762
2829117, 0.017578, -0.014648, 0.915283, 2.195122, -0.975610, -0.060976, 33.094704
2830751, 0.021240, -0.016357, 0.916260, 2.378049, -1.097561, -0.121951, 33.141762
2832384, 0.020996, -0.015381, 0.915527, 2.317073, -1.097561, -0.060976, 33.094704
2834007, 0.012451, -0.019287, 0.912354, 2.134146, -1.036585, -0.243902, 33.047646
2835641, 0.017578, -0.016357, 0.914062, 2.073171, -1.036585, -0.243902, 33.094704
2837274, 0.021484, -0.019043, 0.912109, 2.012195, -1.036585, -0.182927, 33.047646
2838908, 0.023438, -0.018311, 0.909668, 2.134146, -0.975610, -0.182927, 33.094704
2840541, 0.020996, -0.013672, 0.915039, 2.317073, -1.036585, -0.182927, 33.141762
2842174, 0.023926, -0.010010, 0.911377, 2.317073, -1.097561, -0.304878, 33.188824
2843808, 0.015137, -0.008057, 0.911865, 2.256098, -1.036585, -0.365854, 33.141762
2845441, 0.016357, -0.011719, 0.912598, 2.134146, -0.914634, -0.182927, 33.141762
2847075, 0.018555, -0.011719, 0.919189, 2.134146, -1.097561, -0.182927, 33.094704
2848708, 0.023193, -0.011963, 0.914551, 2.317073, -1.097561, -0.060976, 33.094704
2850341, 0.020020, -0.014160, 0.908691, 2.195122, -0.792683, -0.243902, 33.188824
2851975, 0.024170, -0.017822, 0.916016, 2.134146, -0.792683, -0.060976, 33.141762
2853615, 0.022217, -0.014648, 0.912598, 2.134146, -0.914634, -0.121951, 33.188824
2855248, 0.024170, -0.019775, 0.911865, 2.317073, -1.158537, -0.304878, 33.141762
2856882, 0.021484, -0.015381, 0.913086, 2.012195, -1.219512, -0.182927, 33.094704
