AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MPUTempC,BaroTempC,PressurePa,RelAltM,Us
60,-80,2165,-168,11,-35,38.571,35.900,100623,-940.37,11173
68,-80,2133,-173,28,-36,38.559,35.900,100623,-940.37,497
73,-76,2110,-165,14,-31,38.595,35.900,100623,-940.37,483
84,-64,2133,-172,21,-30,38.533,35.900,100623,-940.37,477
70,-68,2109,-170,19,-33,38.568,35.900,100623,-940.37,473
92,-80,2132,-169,18,-32,38.568,35.900,100626,-940.63,11177
67,-80,2133,-169,27,-34,38.604,35.900,100626,-940.63,500
68,-76,2099,-169,18,-34,38.586,35.900,100626,-940.63,484
81,-92,2147,-169,21,-29,38.589,35.900,100626,-940.63,477
74,-87,2134,-165,12,-37,38.583,35.900,100626,-940.63,473
85,-60,2132,-177,26,-33,38.589,35.900,100626,-940.63,11172
74,-66,2107,-163,7,-29,38.548,35.900,100626,-940.63,500
80,-56,2138,-174,30,-31,38.589,35.900,100626,-940.63,483
71,-70,2138,-161,8,-28,38.604,35.900,100626,-940.63,476
70,-86,2124,-174,28,-31,38.556,35.900,100626,-940.63,473
83,-96,2140,-164,10,-28,38.577,35.900,100614,-939.60,11177
85,-76,2125,-176,28,-34,38.559,35.900,100614,-939.60,503
66,-94,2143,-162,7,-28,38.556,35.900,100614,-939.60,484
96,-80,2118,-176,31,-34,38.559,35.900,100614,-939.60,476
93,-78,2129,-164,15,-31,38.545,35.900,100614,-939.60,473
87,-92,2114,-172,22,-38,38.548,35.900,100626,-940.63,11173
73,-93,2121,-165,13,-32,38.536,35.900,100626,-940.63,513
86,-71,2139,-171,20,-33,38.562,35.900,100626,-940.63,483
73,-86,2135,-168,18,-34,38.583,35.900,100626,-940.63,477
65,-73,2132,-171,18,-31,38.545,35.900,100626,-940.63,473
67,-73,2138,-169,19,-30,38.565,35.900,100629,-940.88,11177
69,-66,2128,-168,19,-29,38.571,35.900,100629,-940.88,517
71,-76,2114,-170,20,-31,38.586,35.900,100629,-940.88,484
73,-47,2128,-168,17,-32,38.592,35.900,100629,-940.88,477
73,-46,2141,-169,14,-31,38.589,35.900,100629,-940.88,473
74,-81,2123,-172,18,-28,38.562,35.900,100626,-940.63,11173
69,-84,2129,-172,17,-32,38.565,35.900,100626,-940.63,498
84,-89,2102,-174,19,-34,38.592,35.900,100626,-940.63,483
99,-93,2113,-166,19,-27,38.583,35.900,100626,-940.63,477
79,-103,2108,-169,22,-35,38.565,35.900,100626,-940.63,473
82,-101,2127,-174,24,-38,38.559,35.900,100623,-940.37,11177
80,-101,2143,-164,11,-34,38.536,35.900,100623,-940.37,502
64,-85,2133,-171,24,-36,38.562,35.900,100623,-940.37,484
74,-78,2139,-165,11,-38,38.559,35.900,100623,-940.37,477
59,-81,2126,-170,21,-36,38.551,35.900,100623,-940.37,473
66,-74,2142,-165,12,-31,38.571,35.900,100626,-940.63,11172
70,-72,2143,-168,12,-32,38.577,35.900,100626,-940.63,498
75,-68,2121,-166,16,-31,38.562,35.900,100626,-940.63,483
74,-68,2118,-171,20,-36,38.580,35.900,100626,-940.63,477
89,-67,2122,-166,18,-33,38.586,35.900,100626,-940.63,473
76,-76,2152,-169,20,-32,38.574,35.900,100629,-940.88,11177
86,-76,2126,-167,16,-31,38.556,35.900,100629,-940.88,510
82,-75,2148,-169,16,-33,38.539,35.900,100629,-940.88,484
76,-84,2158,-167,15,-30,38.551,35.900,100629,-940.88,477
76,-84,2148,-170,27,-31,38.548,35.900,100629,-940.88,473
87,-70,2125,-167,17,-27,38.612,35.900,100626,-940.63,11173
84,-78,2126,-173,25,-31,38.562,35.900,100626,-940.63,512
64,-83,2133,-168,18,-30,38.548,35.900,100626,-940.63,483
74,-71,2110,-171,28,-33,38.551,35.900,100626,-940.63,477
63,-74,2115,-168,21,-32,38.554,35.900,100626,-940.63,473
72,-85,2099,-167,20,-28,38.559,35.900,100623,-940.37,11177
78,-81,2127,-165,14,-27,38.556,35.900,100623,-940.37,517
69,-97,2129,-171,20,-36,38.554,35.900,100623,-940.37,484
72,-83,2140,-170,14,-32,38.545,35.900,100623,-940.37,477
78,-86,2106,-169,19,-33,38.580,35.900,100623,-940.37,473
83,-81,2122,-161,3,-39,38.565,35.900,100635,-941.40,11173
71,-94,2138,-173,25,-34,38.568,35.900,100635,-941.40,512
62,-90,2139,-162,6,-33,38.539,35.900,100635,-941.40,483
84,-67,2124,-174,28,-29,38.589,35.900,100635,-941.40,477
83,-67,2144,-165,8,-33,38.565,35.900,100635,-941.40,473
70,-67,2106,-171,24,-35,38.533,35.900,100623,-940.37,11177
84,-73,2144,-162,4,-32,38.589,35.900,100623,-940.37,503
91,-58,2095,-178,37,-29,38.580,35.900,100623,-940.37,484
73,-72,2150,-152,-6,-29,38.577,35.900,100623,-940.37,477
101,-64,2106,-187,43,-31,38.559,35.900,100623,-940.37,473
69,-77,2144,-156,0,-31,38.536,35.900,100635,-941.40,11173
88,-74,2120,-179,39,-29,38.562,35.900,100635,-941.40,510
62,-86,2156,-164,12,-30,38.574,35.900,100635,-941.40,483
89,-88,2135,-166,22,-28,38.533,35.900,100635,-941.40,477
61,-79,2123,-171,24,-32,38.562,35.900,100635,-941.40,473
72,-82,2124,-163,15,-32,38.580,35.900,100629,-940.88,11177
68,-91,2139,-170,23,-32,38.562,35.900,100629,-940.88,504
70,-79,2118,-165,13,-31,38.548,35.900,100629,-940.88,484
58,-90,2118,-176,30,-24,38.562,35.900,100629,-940.88,477
